# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.clear.count,1761856724714000000,1761856784730000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761856724714000000,1761856784730000000,52445184
FilePageCache.pageLoads,1761856724714000000,1761856784730000000,296
StorageLockContext.competingThreads.max,1761856724714000000,1761856784730000000,0
DirectByteBufferAllocator.misses,1761856724714000000,1761856784730000000,291
FilePageCache.totalPageDisposalsUs,1761856724714000000,1761856784730000000,1681
StreamlinedBlobStorage.recordsRelocated,1761856724714000000,1761856784730000000,0
FilePageCache.maxCacheSizeInBytes,1761856724714000000,1761856784730000000,289423360
StreamlinedBlobStorage.recordsDeleted,1761856724714000000,1761856784730000000,50
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1761856724714000000,1761856784730000000,16015336
FilePageCache.uncachedFileAccess,1761856724714000000,1761856784730000000,642
MappedFileStorage.totalTimeSpentOnMappingUs,1761856724714000000,1761856784730000000,512048
FilePageCache.pageLoadsAboveSizeThreshold,1761856724714000000,1761856784730000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1761856724714000000,1761856784730000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761856724714000000,1761856784730000000,12083992
StreamlinedBlobStorage.recordsAllocated,1761856724714000000,1761856784730000000,9672
FilePageCache.disposedBuffers,1761856724714000000,1761856784730000000,293
FilePageCache.pageFastCacheHits,1761856724714000000,1761856784730000000,2061839
FilePageCache.totalPageLoadsUs,1761856724714000000,1761856784730000000,197134
DirectByteBufferAllocator.disposed,1761856724714000000,1761856784730000000,278
FilePageCache.pageHits,1761856724714000000,1761856784730000000,350754
DirectByteBufferAllocator.hits,1761856724714000000,1761856784730000000,5
MappedFileStorage.storages,1761856724714000000,1761856784730000000,14
DirectByteBufferAllocator.reclaimed,1761856724714000000,1761856784730000000,57
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761856724714000000,1761856784730000000,11550720
StorageLockContext.competingThreads.avg,1761856724714000000,1761856784730000000,0.0
FilePageCache.maxRegisteredFiles,1761856724714000000,1761856784730000000,512
MappedFileStorage.totalPagesMapped,1761856724714000000,1761856784730000000,14
FilePageCache.capacityInBytes,1761856724714000000,1761856784730000000,629145600
MappedFileStorage.totalBytesMapped,1761856724714000000,1761856784730000000,194248704
StorageLockContext.competingThreads.90P,1761856724714000000,1761856784730000000,0
AWTEventQueue.dispatchTimeMaxNs,1761856724714000000,1761856784730000000,713031679
FlushQueue.queueSizeMax,1761856724714000000,1761856784730000000,323
FlushQueue.waitingTimeMaxNs,1761856724714000000,1761856784730000000,1124073471
FlushQueue.waitingTimeAvgNs,1761856724714000000,1761856784730000000,4.108267480897271E7
